Country,Latitude,Longitude,GNI,GDP,Population,UNRP10,UNRP20,WBGini,GenderGapRank2013,GenderGapScore2013,EconomicRank2013,EconomicScore2013,EducationalRank2013,EducationalScore2013,HealthRank2013,HealthScore2013,PoliticalRank2013,PoliticalScore2013,TotalGold2014,TotalSilver2014,TotalBronze2014,TotalMedals2014,WomenGold2014,WomenSilver2014,WomenBronze2014,WomenMedals2014,WomenMedals2014Sqrt,MenGold2014,MenSilver2014,MenBronze2014,MenMedals2014,MenMedals2014Sqrt,TotalGold2012,TotalSilver2012,TotalBronze2012,WomenMedals2012,MenMedals2012,TotalMedals2012,TotalMedals2012and2014,TotalMedals2012and2014SQRT,TotMed1214per_,TotMed1214perPop,TotMedWom1214,TotMedMen1214,TotMedWom1214sqrt,TotMedMen1214sqrt
Croatia,135,165,19760,56442,4267000,7.3,4.8,33.7,49,0.7069,61,0.6753,47,0.9951,34,0.9791,50,0.1779,0,1,0,1,0,0,0,0,0,0,1,0,1,1,3,1,2,2,5,6,7,2.65,0,0,2,6,1.41,2.45
Cuba,113,262,,68234,11270957,0,,,15,0.754,65,0.6736,30,0.9995,63,0.9743,13,0.3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,3,5,15,15,3.87,0,0,3,5,1.73,2.24
Cyprus,125,147,29400,22981,1128994,0,,,79,0.6801,85,0.6353,83,0.9853,91,0.9701,76,0.1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1
Czech Republic,140,166,24550,195657,10514810,5.2,3.5,26,83,0.677,95,0.6039,1,1,46,0.9788,79,0.1254,2,4,2,8,2,2,0,4,2,0,1,2,3,1.73,4,3,3,6,6,10,18,4.24,0,0,10,9,3.16,3
Denmark,145,168,42620,314242,5590478,8.1,4.3,24,8,0.7779,25,0.7639,1,1,64,0.9739,11,0.3738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,14,9,9,3,0,0,2,14,1.41,3.74
Dominican Repu,108,249,9820,58951,10276621,25.3,14.3,47.2,72,0.6867,63,0.6751,84,0.9822,89,0.9711,84,0.1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,1.41,0,0,0,2,0,1.41
Ecuador,90,258,9590,84532,15492264,35.2,17.3,49.3,25,0.7389,90,0.6253,52,0.9942,55,0.9758,17,0.3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,120,149,6640,257286,80721874,8,5.1,30.8,125,0.5935,125,0.4426,108,0.9199,51,0.9768,128,0.0348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,1.41,0,0,0,2,0,1.41
El Salvador,103,269,6790,23787,6297394,38.6,20.9,48.3,96,0.6609,114,0.5345,79,0.9886,1,0.9796,70,0.1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Gui,93,172,18880,17697,736296,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,149,156,21990,21854,1339396,10.8,6.4,36,59,0.6997,41,0.7228,59,0.9931,34,0.9791,88,0.1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,1.41,0,0,0,2,0,1.41
Ethiopia,99,142,1140,43133,91728849,6.6,4.3,29.8,118,0.6198,93,0.6148,131,0.7451,68,0.9737,66,0.1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,1,7,7,2.65,0,0,3,1,1.73,1
Fiji,90,180,4880,3908,874742,0,,42.8,117,0.6286,120,0.4975,63,0.9925,1,0.9796,125,0.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,150,155,38210,250024,5414293,5.6,3.8,26.9,2,0.8421,19,0.7727,1,1,1,0.9796,2,0.6162,1,3,1,5,0,3,0,3,1.73,1,0,1,2,1.41,0,1,2,1,0,3,8,2.83,0,0,4,2,2,1.41
France,138,178,36460,2612878,65696689,9.1,5.6,32.7,45,0.7089,67,0.669,1,1,1,0.9796,45,0.187,4,4,7,15,0,1,2,3,1.73,4,3,5,12,3.46,11,11,12,13,23,34,49,7,0,0,16,35,4,5.92
